175,Chuma Okele,Auburn,2.03,104,SF,11
176,Terrence Ross,Washington,1.98,93,SF,11
177,Caleb Houstan,Michigan,2.03,93,SF,11
178,Paolo Banchero,Duke,2.08,113,PF,11
179,Jonathan Isaac,Florida State,2.11,104,PF,11
180,Admiral Schofield,Tenessee,1.96,109,PF,11
181,Wendell Carter,Duke,2.06,122,C,11
182,Mo Bamba,Texas,2.13,105,C,11
183,Moritz Wagner,Michigan,2.11,111,C,11
184,Bol Bol,Oregon,2.18,100,C,11
185,Monte Morris,Iowa State,1.91,79,PG,12
186,Delon Wright,Utah,1.96,84,PG,12
187,Jordan Goodwin,Saint Louis,1.91,91,PG,12
188,Bradley Beal,Florida,1.91,94,SG,12
189,Johnny Davis,Wisconsin,1.93,88,SG,12
190,Jordan Schakel,San Diego State,1.98,91,SG,12
191,Deni Avdija,Israel,2.05,99,SF,12
192,Will Barton,Memphis,1.98,86,SF,12
193,Corey Kispert,Gonzaga,2.01,100,SF,12
194,Kyle Kuzma,Utah,2.06,100,PF,12
195,Rui Hachimura,Gonzaga,2.03,104,PF,12
196,Anthony Gill,Virginia,2.03,104,PF,12
197,Isaiah Todd,NBA G-League,2.08,93,PF,12
198,Kristaps Porzingis,España,2.21,109,C,12
199,Daniel Gafford,Arkansas,2.08,106,C,12
200,Taj Gibson,USC,2.06,105,C,12
201,Vernon Carey Jr.,Duke,2.06,117,C,12
202,Trae Young,Oklahoma,1.85,82,PG,13
203,Aaron Holiday,UCLA,1.83,84,PG,13
204,Dejounte Murray,Washingtons,1.93,82,SG,13
205,Bogdan Bogdanovic,Serbia,1.98,100,SG,13
206,Vit Krejci,España,2.01,88,SG,13
207,Tyrese Martin,Uconn,1.98,98,SG,13
208,DeAndre Hunter,Virginia,2.01,102,SF,13
209,Justin Holiday,Washington,1.98,82,SF,13
210,A.J. Griffin,Duke,1.98,101,SGSF,13
211,Trent Forrest,Florida State,1.93,95,SF,13
212,Jarrett Culver,Texas Tech,1.98,88,SF,13
213,John Collins,Wake Forest,2.06,107,PF,13
214,Jalen Johnson,Duke,2.06,100,PF,13
215,Clint Capela,Francia,2.09,109,C,13
216,Onyeka Okongwu,USC,2.06,111,C,13
217,Frank Kaminsky,Wisconsin,2.13,109,C,13
218,Terry Rozier,Louisville,1.85,88,SG,14
219,Cody Martin,Nevada,1.98,91,SG,14
220,James Bouknight,Uconn,1.93,84,SG,14
221,LaMelo Ball,Australia,2.01,84,PG,14
222,Dennis Smith Jr.,NC State,1.88,93,PG,14
223,Théo Maledon,Francia,1.91,80,PG,14
224,Gordon Hayward,Butler,2.01,104,SF,14
225,Kelly Oubre,Kansas,1.98,93,SF,14
